	label	frac	stage
0	smn1_9nt, LID 298181	0.15811686324899998	sorted
1	smn1_9nt, LID 298183	0.147242047578	sorted
2	smn1_9nt, LID 298355	0.464429700812	sorted
3	smn1_9nt, LID 298356	0.511373599249	sorted
4	brca2_11nt, LID 296800	0.34580517234499997	sorted
5	brca2_11nt, LID 296831	0.34949750764700005	sorted
6	brca2_11nt, LID 296963	0.47468587507200005	sorted
7	brca2_11nt, LID 297460 (2x)	0.283151237833	sorted
8	ikbkap_9nt, LID 298849	0.581306796464	sorted
9	ikbkap_9nt, LID 298850	0.602487603517	sorted
10	ikbkap_9nt, LID 298871	0.515021427877	sorted
11	ikbkap_9nt, LID 298872	0.552728063863	sorted
12	brca2_9nt, LID 296799	0.486854906597	sorted
13	brca2_9nt, LID 296830	0.316528659143	sorted
14	brca2_9nt, LID 296962	0.445178906092	sorted
15	brca2_9nt, LID 297460 (2x)	0.09247038030020001	sorted
16	smn1_9nt, LID 298181	0.10634020644400001	parsed
17	smn1_9nt, LID 298183	0.138299154772	parsed
18	smn1_9nt, LID 298355	0.36700039479900004	parsed
19	smn1_9nt, LID 298356	0.327022820115	parsed
20	brca2_11nt, LID 296800	0.272592804917	parsed
21	brca2_11nt, LID 296831	0.308307205447	parsed
22	brca2_11nt, LID 296963	0.42406098585900004	parsed
23	brca2_11nt, LID 297460 (2x)	0.195579418971	parsed
24	ikbkap_9nt, LID 298849	0.498523775938	parsed
25	ikbkap_9nt, LID 298850	0.546322928049	parsed
26	ikbkap_9nt, LID 298871	0.460019722611	parsed
27	ikbkap_9nt, LID 298872	0.495518746148	parsed
28	brca2_9nt, LID 296799	0.411285811535	parsed
29	brca2_9nt, LID 296830	0.269778291896	parsed
30	brca2_9nt, LID 296962	0.398529928376	parsed
31	brca2_9nt, LID 297460 (2x)	0.08355453120680001	parsed
