	LID	raw_reads	sorted_reads	parsed_reads	frac_sorted	frac_parsed	group	description
0	298181	181229430	28655429	19271975	0.15811686324899998	0.10634020644400001	smn1_9nt	smn1_9nt_exon
1	298183	172859726	25452220	23906354	0.147242047578	0.138299154772	smn1_9nt	smn1_9nt_jct
2	298355	142472656	66168533	52287521	0.464429700812	0.36700039479900004	smn1_9nt	smn1_9nt_ssbc
3	298356	173459690	88702706	56725277	0.511373599249	0.327022820115	smn1_9nt	smn1_9nt_total
4	296800	125579903	43426180	34232178	0.34580517234499997	0.272592804917	brca2_11nt	brca2_11nt_ssbc
5	296831	174865845	61115177	53912400	0.34949750764700005	0.308307205447	brca2_11nt	brca2_11nt_exon
6	296963	144020009	68364264	61073267	0.47468587507200005	0.42406098585900004	brca2_11nt	brca2_11nt_total
7	297460	166111829	47034770	32488055	0.283151237833	0.195579418971	brca2_11nt	brac2_9nt_jct, brca2_11nt_jct
8	298849	106662670	62003735	53173877	0.581306796464	0.498523775938	ikbkap_9nt	iknkap_9nt_total
9	298850	127977629	77104935	69917113	0.602487603517	0.546322928049	ikbkap_9nt	ikbkap_9nt_exon, ikbkap_9nt_jct
10	298871	138268713	71211350	63606335	0.515021427877	0.460019722611	ikbkap_9nt	ikbkap_9nt_ssbc_lib1
11	298872	132256288	73101762	65535470	0.552728063863	0.495518746148	ikbkap_9nt	ikbkap_9nt_ssbc_lib2
12	296799	150111828	73082680	61738865	0.486854906597	0.411285811535	brca2_9nt	brca2_9nt_ssbc
13	296830	177855159	56296255	47981461	0.316528659143	0.269778291896	brca2_9nt	brca2_9nt_exon
14	296962	148544327	66128801	59199360	0.445178906092	0.398529928376	brca2_9nt	brca2_9nt_total
15	297460	166111829	15360424	13879396	0.09247038030020001	0.08355453120680001	brca2_9nt	brac2_9nt_jct, brca2_11nt_jct
