experiment	tot_ct	ex_ct
brca2_11nt_lib1_rep1	3606247	2740152
brca2_11nt_lib1_rep2	3032736	3725664
brca2_11nt_lib1_rep3	2966381	4233742
brca2_11nt_lib2_rep1	1853478	2380844
brca2_11nt_lib2_rep2	3463871	2572246
brca2_11nt_lib2_rep3	3065975	3414080
brca2_11nt_lib3_rep1	5165935	2842881
brca2_11nt_lib3_rep2	7117492	3062870
brca2_11nt_lib3_rep3	4463102	3396029
brca2_9nt_lib1_rep1	6012670	2833255
brca2_9nt_lib1_rep2	5641334	3746808
brca2_9nt_lib1_rep3	5475023	3587536
brca2_9nt_lib2_rep1	6002292	6621127
brca2_9nt_lib2_rep2	5901192	6065692
brca2_9nt_lib2_rep3	7772292	6907079
ikbkap_9nt_lib1_rep1	269358	614097
ikbkap_9nt_lib1_rep2	1971583	1224210
ikbkap_9nt_lib1_rep3	2108514	839272
ikbkap_9nt_lib2_rep1	1568816	626564
ikbkap_9nt_lib2_rep2	1315349	606991
ikbkap_9nt_lib2_rep3	1449461	801995
smn1_9nt_lib1_rep1	1326146	38415
smn1_9nt_lib1_rep2	1576469	579643
smn1_9nt_lib1_rep3	2030451	415748
smn1_9nt_lib2_rep1	2663095	1380172
smn1_9nt_lib2_rep2	6498198	1373302
smn1_9nt_lib2_rep3	3301258	613341
smn1_9nt_lib3_rep1	4494586	985607
smn1_9nt_lib3_rep2	578883	2803472
smn1_9nt_lib3_rep3	3568634	977761
